product_id,product_name,category,subcategory,brand,current_price,cost_price,stock_quantity,weight_kg,launch_date,is_active,rating,review_count
PROD000000,TechPro Fragrance,Beauty,Fragrance,ProGear,250.63,146.88,497,14.35,2020-04-16,True,3.7,251
PROD000001,Classic Educational,Books,Educational,FitLife,323.46,96.82,134,9.38,2020-03-25,True,5.0,414
PROD000002,SmartTech Yoga,Sports,Yoga,Modern,105.91,49.61,259,12.67,2023-12-11,True,4.6,467
PROD000003,Classic Swimming,Sports,Swimming,SmartTech,451.12,149.95,391,10.17,2019-10-15,True,3.7,336
PROD000004,HomeEssentials Pants,Clothing,Pants,BeautyFirst,54.84,23.01,224,3.49,2024-06-27,True,4.4,0
PROD000005,StyleMax Skincare,Beauty,Skincare,ActiveWear,268.96,149.05,296,12.12,2019-01-26,True,4.0,16
PROD000006,ProGear Makeup,Beauty,Makeup,ComfortPlus,211.22,109.91,212,7.94,2019-09-30,True,4.0,232
PROD000007,UrbanStyle Speakers,Electronics,Speakers,Elite,240.96,138.37,260,5.77,2021-09-07,True,3.5,446
PROD000008,Elite Makeup,Beauty,Makeup,ActiveWear,208.98,75.48,209,9.74,2021-02-02,True,3.6,201
PROD000009,StyleMax Dresses,Clothing,Dresses,StyleMax,150.31,50.88,104,11.16,2019-09-14,True,3.7,78
PROD000010,Essential Cameras,Electronics,Cameras,UrbanStyle,223.07,74.25,151,5.01,2022-01-17,True,3.5,388
PROD000011,Premium Jackets,Clothing,Jackets,Essential,367.0,116.94,99,7.56,2022-03-04,True,4.2,427
PROD000012,ProGear Lighting,Home,Lighting,Essential,32.73,10.71,77,14.58,2023-11-20,True,3.8,309
PROD000013,Premium Storage,Home,Storage,ActiveWear,334.47,114.68,396,8.16,2022-06-16,True,3.5,401
PROD000014,Classic Smartwatches,Electronics,Smartwatches,Elite,283.64,87.72,380,10.35,2022-11-23,True,4.9,51
PROD000015,FitLife Lighting,Home,Lighting,UrbanStyle,419.19,142.35,299,9.02,2022-12-24,True,3.6,136
PROD000016,ActiveWear Haircare,Beauty,Haircare,SmartTech,91.77,56.25,144,1.3,2023-01-26,True,4.4,479
PROD000017,BeautyFirst Furniture,Home,Furniture,Premium,189.17,95.35,225,3.25,2021-10-16,True,4.7,303
PROD000018,Classic Running,Sports,Running,SmartTech,300.29,144.7,83,3.44,2022-04-05,True,3.4,133
PROD000019,Elite Furniture,Home,Furniture,ProGear,123.25,52.72,0,3.94,2019-07-01,True,3.2,149
PROD000020,Elite Journals,Books,Journals,Modern,223.82,116.79,387,3.49,2022-09-08,True,5.0,0
PROD000021,Premium Yoga,Sports,Yoga,Essential,210.15,62.15,361,12.27,2021-03-30,True,3.7,329
PROD000022,ActiveWear Pants,Clothing,Pants,BeautyFirst,75.59,29.79,314,13.51,2023-06-12,True,4.5,118
PROD000023,HomeEssentials Fiction,Books,Fiction,FitLife,81.25,47.74,450,6.92,2020-11-25,True,4.6,175
PROD000024,FitLife Lighting,Home,Lighting,Premium,194.78,105.78,266,8.69,2021-11-11,True,3.3,440
PROD000025,Deluxe Dresses,Clothing,Dresses,Deluxe,426.29,140.8,233,1.14,2019-01-12,True,3.9,43
PROD000026,ComfortPlus Lighting,Home,Lighting,FitLife,21.56,14.37,355,0.8,2019-05-25,True,3.1,0
PROD000027,ComfortPlus Tools,Beauty,Tools,StyleMax,210.6,141.91,87,3.42,2024-04-16,False,4.0,413
PROD000028,ComfortPlus Cycling,Sports,Cycling,Classic,232.38,68.9,228,10.08,2021-03-23,True,4.3,48
PROD000029,BeautyFirst Kitchen Tools,Home,Kitchen Tools,Essential,189.01,60.11,495,2.68,2021-09-15,True,4.5,126
PROD000030,ComfortPlus Tools,Beauty,Tools,TechPro,75.37,38.23,149,14.07,2021-07-27,True,,395
PROD000031,EcoHome Furniture,Home,Furniture,FitLife,121.68,83.82,343,9.78,2020-02-15,True,3.5,438
PROD000032,ComfortPlus Non-Fiction,Books,Non-Fiction,EcoHome,200.86,72.61,270,7.9,2021-04-26,True,3.5,134
PROD000033,ProGear Shoes,Clothing,Shoes,UrbanStyle,288.23,147.85,97,5.79,2020-09-10,True,4.7,311
PROD000034,SmartTech Bath,Beauty,Bath,Essential,169.2,65.1,287,11.55,2023-09-29,True,4.9,355
PROD000035,SmartTech Kitchen Tools,Home,Kitchen Tools,Elite,180.62,105.67,253,0.77,2019-11-11,True,4.8,236
PROD000036,ProGear Accessories,Clothing,Accessories,StyleMax,192.41,86.44,292,5.41,2022-05-01,True,5.0,371
PROD000037,Premium Bedding,Home,Bedding,StyleMax,67.55,33.36,361,8.81,2020-12-01,True,4.1,378
PROD000038,Deluxe Comics,Books,Comics,Essential,221.67,99.75,59,14.4,2024-06-30,True,4.4,133
PROD000039,Essential Haircare,Beauty,Haircare,HomeEssentials,37.96,13.41,479,6.16,2019-12-10,True,4.0,219
PROD000040,Elite Storage,Home,Storage,ProGear,183.1,66.87,113,2.17,2020-04-16,True,4.6,472
PROD000041,FitLife Decor,Home,Decor,ActiveWear,162.89,92.46,208,3.69,2021-02-21,False,4.7,259
PROD000042,Premium Fitness,Sports,Fitness,ProGear,458.58,135.79,347,4.36,2021-11-08,True,4.3,376
PROD000043,EcoHome Non-Fiction,Books,Non-Fiction,BeautyFirst,15.34,10.79,82,14.69,2023-10-03,True,4.5,129
PROD000044,ActiveWear Fiction,Books,Fiction,UrbanStyle,168.38,74.09,400,12.83,2024-03-10,False,4.8,390
PROD000045,SmartTech Running,Sports,Running,BeautyFirst,128.39,49.04,253,5.34,2022-06-09,True,4.8,202
PROD000046,UrbanStyle Smartwatches,Electronics,Smartwatches,HomeEssentials,264.64,146.0,354,14.76,2023-04-07,True,4.0,291
PROD000047,Premium Skincare,Beauty,Skincare,Modern,321.26,114.68,43,5.56,2021-05-13,True,3.4,490
PROD000048,ComfortPlus Swimming,Sports,Swimming,ComfortPlus,413.03,126.22,250,10.72,2023-05-14,False,4.8,117
PROD000049,Essential Fitness,Sports,Fitness,Modern,147.56,66.17,152,1.75,2024-02-21,True,3.9,240
PROD000050,ReadMore Running,Sports,Running,TechPro,349.77,115.45,334,9.16,2021-07-25,True,3.4,360
PROD000051,HomeEssentials Smartwatches,Electronics,Smartwatches,FitLife,204.56,66.64,232,3.07,2021-04-07,True,4.1,247
PROD000052,ComfortPlus Educational,Books,Educational,FitLife,58.3,38.95,403,4.85,2022-09-20,True,4.2,413
PROD000053,Premium Non-Fiction,Books,Non-Fiction,Classic,184.7,79.88,98,1.94,2024-04-13,True,3.9,436
PROD000054,Modern Skincare,Beauty,Skincare,Deluxe,297.4,132.62,204,0.28,2022-11-06,True,4.1,122
PROD000055,FitLife Cables,Electronics,Cables,SmartTech,335.73,121.05,80,2.54,2020-04-12,True,3.6,275
PROD000056,Elite Bath,Beauty,Bath,Deluxe,175.76,88.77,62,11.24,2020-07-03,True,4.4,6
PROD000057,ComfortPlus Cameras,Electronics,Cameras,HomeEssentials,139.38,67.97,367,2.19,2022-03-29,True,4.3,192
PROD000058,ActiveWear Smartwatches,Electronics,Smartwatches,Elite,373.82,143.93,102,3.64,2022-07-20,True,3.6,485
PROD000059,FitLife Lighting,Home,Lighting,FitLife,76.01,34.98,135,10.24,2024-02-18,True,3.7,312
PROD000060,BeautyFirst Cycling,Sports,Cycling,Premium,94.62,43.59,194,9.13,2019-06-13,True,3.2,3
PROD000061,ReadMore Furniture,Home,Furniture,Deluxe,85.75,31.65,140,9.59,2020-09-27,True,4.0,380
PROD000062,EcoHome Cameras,Electronics,Cameras,HomeEssentials,108.74,57.79,493,8.85,2019-12-10,True,3.4,0
PROD000063,SmartTech Shoes,Clothing,Shoes,Modern,212.79,131.79,257,8.34,2022-03-04,True,3.2,439
PROD000064,Deluxe Makeup,Beauty,Makeup,TechPro,127.63,52.86,487,11.98,2022-02-20,True,3.6,118
PROD000065,UrbanStyle Headphones,Electronics,Headphones,EcoHome,170.25,92.64,257,1.21,2021-07-16,True,3.6,197
PROD000066,UrbanStyle Haircare,Beauty,Haircare,HomeEssentials,411.76,127.94,251,6.72,2022-02-13,True,4.5,318
PROD000067,StyleMax Fiction,Books,Fiction,TechPro,205.03,98.05,193,4.95,2020-09-29,True,3.2,3
PROD000068,BeautyFirst Bath,Beauty,Bath,ComfortPlus,414.42,123.08,225,14.97,2021-04-03,True,4.6,460
PROD000069,ReadMore Headphones,Electronics,Headphones,Elite,290.3,114.83,439,13.55,2022-07-07,True,3.6,431
PROD000070,Deluxe Decor,Home,Decor,BeautyFirst,69.81,31.56,77,11.74,2021-03-30,True,4.1,318
PROD000071,SmartTech Shirts,Clothing,Shirts,StyleMax,18.01,13.22,381,12.58,2021-11-14,True,3.1,346
PROD000072,Elite Headphones,Electronics,Headphones,Essential,74.91,22.1,218,3.98,2021-06-14,True,4.5,366
PROD000073,ComfortPlus Yoga,Sports,Yoga,ReadMore,28.9,19.16,488,11.32,2023-02-19,True,3.6,141
PROD000074,Deluxe Educational,Books,Educational,TechPro,39.92,11.66,406,7.16,2024-06-14,True,,203
PROD000075,ComfortPlus Dresses,Clothing,Dresses,StyleMax,101.67,33.54,260,8.24,2023-08-28,True,3.8,255
PROD000076,ReadMore Cycling,Sports,Cycling,Modern,82.92,60.81,143,7.03,2019-11-22,True,4.4,426
PROD000077,Modern Dresses,Clothing,Dresses,ComfortPlus,49.31,19.07,30,6.42,2023-07-14,True,5.0,242
PROD000078,Classic Magazines,Books,Magazines,Premium,101.94,49.84,474,2.19,2024-04-25,True,3.5,468
PROD000079,HomeEssentials Journals,Books,Journals,Elite,77.73,47.34,350,13.56,2023-01-10,False,3.3,69
PROD000080,Modern Cycling,Sports,Cycling,ActiveWear,160.07,54.27,2,11.8,2019-06-05,True,4.8,381
PROD000081,ReadMore Shirts,Clothing,Shirts,UrbanStyle,87.32,40.65,480,7.82,2020-07-30,True,3.3,309
PROD000082,StyleMax Comics,Books,Comics,EcoHome,111.9,41.97,33,4.52,2022-05-18,False,4.4,212
PROD000083,Classic Makeup,Beauty,Makeup,StyleMax,103.52,42.98,169,7.44,2022-12-16,True,3.1,49
PROD000084,Deluxe Running,Sports,Running,ReadMore,210.29,124.07,78,12.25,2020-04-07,True,3.1,92
PROD000085,Premium Furniture,Home,Furniture,ComfortPlus,229.32,65.91,287,3.97,2022-12-29,True,3.6,302
PROD000086,HomeEssentials Jackets,Clothing,Jackets,FitLife,36.34,27.02,115,4.17,2020-05-18,True,3.7,255
PROD000087,Classic Magazines,Books,Magazines,StyleMax,44.74,18.11,376,7.6,2022-12-19,True,3.4,370
PROD000088,FitLife Bedding,Home,Bedding,Essential,365.8,149.84,157,11.35,2019-11-28,True,3.1,42
PROD000089,ComfortPlus Magazines,Books,Magazines,Classic,266.69,104.37,350,8.11,2023-02-09,True,3.3,42
PROD000090,Modern Decor,Home,Decor,Classic,416.41,148.98,349,1.46,2024-05-28,True,3.3,59
PROD000091,StyleMax Cables,Electronics,Cables,Essential,47.99,14.95,61,6.3,2020-06-06,True,4.6,62
PROD000092,ComfortPlus Yoga,Sports,Yoga,Premium,59.07,33.5,367,0.79,2022-03-20,True,4.1,300
PROD000093,Modern Educational,Books,Educational,UrbanStyle,46.17,29.33,260,9.86,2023-07-07,True,3.9,246
PROD000094,EcoHome Journals,Books,Journals,Premium,159.21,85.29,287,14.44,2023-01-19,True,3.6,309
PROD000095,Essential Headphones,Electronics,Headphones,Essential,201.2,128.57,471,0.79,2021-10-27,True,4.4,186
PROD000096,Essential Storage,Home,Storage,Deluxe,130.22,86.12,194,3.82,2024-06-29,True,3.4,169
PROD000097,SmartTech Fitness,Sports,Fitness,UrbanStyle,288.01,85.74,37,4.14,2023-02-10,False,3.5,167
PROD000098,Deluxe Dresses,Clothing,Dresses,SmartTech,217.27,102.75,274,4.71,2023-06-25,True,4.2,331
PROD000099,ProGear Shoes,Clothing,Shoes,StyleMax,216.29,69.36,165,12.76,2020-04-09,True,4.4,400
PROD000100,HomeEssentials Fragrance,Beauty,Fragrance,ProGear,97.14,55.52,84,8.54,2019-09-15,True,4.6,422
PROD000101,TechPro Swimming,Sports,Swimming,UrbanStyle,31.42,10.06,297,7.51,2023-05-26,True,3.7,29
PROD000102,Premium Journals,Books,Journals,FitLife,56.45,41.87,472,12.94,2022-07-19,True,3.6,361
PROD000103,Deluxe Lighting,Home,Lighting,ActiveWear,210.0,144.0,454,13.0,2019-09-29,True,3.7,297
PROD000104,Premium Makeup,Beauty,Makeup,Elite,157.27,49.72,117,11.03,2020-02-13,True,3.4,387
PROD000105,Modern Swimming,Sports,Swimming,TechPro,108.01,52.52,328,7.95,2022-10-13,True,4.0,360
PROD000106,HomeEssentials Jackets,Clothing,Jackets,Deluxe,211.4,117.82,188,8.93,2019-05-30,True,4.4,96
PROD000107,SmartTech Comics,Books,Comics,Elite,150.46,113.15,230,12.78,2023-12-08,True,4.4,457
PROD000108,Deluxe Fiction,Books,Fiction,ActiveWear,263.1,78.95,219,4.1,2024-05-11,True,4.4,193
PROD000109,ReadMore Yoga,Sports,Yoga,StyleMax,236.53,119.49,497,3.38,2020-05-29,True,3.6,432
PROD000110,ActiveWear Cycling,Sports,Cycling,SmartTech,59.79,34.6,362,13.94,2021-02-12,True,3.8,201
PROD000111,Premium Bedding,Home,Bedding,UrbanStyle,447.13,136.47,473,10.63,2022-11-14,True,4.7,60
PROD000112,ProGear Swimming,Sports,Swimming,Premium,281.74,82.14,94,7.76,2020-02-04,True,4.2,268
PROD000113,FitLife Bath,Beauty,Bath,ProGear,233.23,125.5,38,3.81,2024-02-20,True,4.1,393
PROD000114,ReadMore Non-Fiction,Books,Non-Fiction,BeautyFirst,383.05,124.0,294,8.07,2020-03-07,True,4.8,31
PROD000115,BeautyFirst Cameras,Electronics,Cameras,FitLife,377.66,137.99,308,13.52,2019-04-27,True,3.5,38
PROD000116,Elite Jackets,Clothing,Jackets,BeautyFirst,124.37,66.29,173,8.73,2024-01-25,False,3.5,456
PROD000117,Elite Cameras,Electronics,Cameras,Deluxe,20.75,6.0,28,10.96,2022-02-26,True,4.5,301
PROD000118,ProGear Tools,Beauty,Tools,Classic,59.35,17.6,78,9.18,2023-01-20,True,4.3,275
PROD000119,BeautyFirst Headphones,Electronics,Headphones,UrbanStyle,49.27,16.95,106,4.51,2020-02-16,True,3.2,14
PROD000120,ProGear Bedding,Home,Bedding,Classic,160.76,52.02,179,8.02,2022-07-13,True,3.0,224
PROD000121,EcoHome Swimming,Sports,Swimming,TechPro,337.21,134.14,64,0.68,2019-06-15,True,3.6,205
PROD000122,ReadMore Shoes,Clothing,Shoes,ReadMore,105.74,47.25,306,9.65,2022-06-21,True,4.6,477
PROD000123,HomeEssentials Shirts,Clothing,Shirts,UrbanStyle,297.8,126.57,215,9.55,2020-03-04,True,3.4,452
PROD000124,ActiveWear Yoga,Sports,Yoga,SmartTech,432.11,126.4,230,8.94,2023-12-15,True,5.0,51
PROD000125,TechPro Cycling,Sports,Cycling,Elite,106.6,73.02,448,3.59,2023-12-26,True,4.3,0
PROD000126,Classic Kitchen Tools,Home,Kitchen Tools,ActiveWear,49.42,15.74,223,8.26,2022-05-17,False,3.4,495
PROD000127,HomeEssentials Skincare,Beauty,Skincare,UrbanStyle,89.63,63.68,168,10.94,2022-05-21,True,3.5,145
PROD000128,ReadMore Shoes,Clothing,Shoes,ProGear,346.71,125.56,47,6.14,2023-11-24,True,5.0,463
PROD000129,Essential Fitness,Sports,Fitness,ActiveWear,352.76,123.1,28,11.06,2022-06-30,False,3.1,344
PROD000130,ReadMore Shoes,Clothing,Shoes,Essential,175.16,66.68,228,2.71,2022-02-22,True,3.6,398
PROD000131,UrbanStyle Shirts,Clothing,Shirts,Elite,294.34,136.58,410,12.84,2019-01-29,True,4.7,244
PROD000132,ProGear Skincare,Beauty,Skincare,UrbanStyle,34.38,11.89,12,0.96,2022-02-25,False,3.1,179
PROD000133,Essential Pants,Clothing,Pants,Deluxe,17.52,6.9,282,6.35,2023-03-11,True,3.6,15
PROD000134,Premium Accessories,Clothing,Accessories,HomeEssentials,32.54,19.34,181,7.81,2020-09-04,False,4.6,406
PROD000135,ActiveWear Skincare,Beauty,Skincare,Classic,21.11,11.55,271,2.96,2022-10-10,False,4.9,172
PROD000136,ActiveWear Yoga,Sports,Yoga,EcoHome,420.73,144.38,496,14.83,2023-12-26,True,,0
PROD000137,SmartTech Yoga,Sports,Yoga,Elite,57.82,37.51,122,1.45,2019-08-09,True,4.9,478
PROD000138,HomeEssentials Fiction,Books,Fiction,TechPro,194.07,82.49,439,1.0,2021-03-26,True,4.0,0
PROD000139,ActiveWear Bath,Beauty,Bath,ReadMore,250.73,116.0,313,0.32,2023-06-24,True,3.0,129
PROD000140,BeautyFirst Non-Fiction,Books,Non-Fiction,UrbanStyle,21.14,9.91,9,2.26,2019-05-11,True,4.4,216
PROD000141,Classic Bath,Beauty,Bath,Modern,114.46,36.16,407,7.73,2022-04-01,True,4.3,90
PROD000142,Modern Haircare,Beauty,Haircare,ProGear,276.48,103.88,119,2.44,2022-08-12,True,3.5,262
PROD000143,StyleMax Makeup,Beauty,Makeup,HomeEssentials,392.92,114.82,458,3.35,2024-01-31,True,4.5,338
PROD000144,Elite Cables,Electronics,Cables,Modern,224.37,72.18,219,9.42,2022-11-10,True,3.2,413
PROD000145,Classic Headphones,Electronics,Headphones,BeautyFirst,78.93,49.41,141,1.05,2020-04-15,True,4.3,319
PROD000146,ReadMore Accessories,Clothing,Accessories,Classic,207.56,82.76,415,14.45,2020-09-06,False,4.8,164
PROD000147,Modern Fragrance,Beauty,Fragrance,UrbanStyle,149.69,88.03,372,12.14,2023-06-29,True,,100
PROD000148,ActiveWear Headphones,Electronics,Headphones,ComfortPlus,305.44,146.95,110,0.75,2019-09-11,True,4.6,122
PROD000149,Elite Smartwatches,Electronics,Smartwatches,ProGear,394.09,129.35,386,2.29,2020-09-20,True,3.1,48
PROD000150,ReadMore Decor,Home,Decor,SmartTech,329.51,95.5,301,3.96,2020-05-23,False,4.9,485
PROD000151,ReadMore Cycling,Sports,Cycling,ComfortPlus,153.42,112.24,82,12.85,2022-05-09,True,3.2,479
PROD000152,Classic Kitchen Tools,Home,Kitchen Tools,Modern,29.53,9.05,213,5.13,2020-11-10,True,,158
PROD000153,Classic Educational,Books,Educational,Classic,191.62,122.43,250,8.38,2019-03-30,True,3.9,22
PROD000154,ReadMore Pants,Clothing,Pants,Modern,208.5,74.75,428,1.92,2022-10-04,True,4.2,34
PROD000155,HomeEssentials Makeup,Beauty,Makeup,StyleMax,166.3,52.36,217,10.2,2022-05-19,True,4.1,462
PROD000156,Deluxe Cameras,Electronics,Cameras,HomeEssentials,11.08,5.78,431,2.13,2022-05-08,False,4.7,422
PROD000157,ActiveWear Headphones,Electronics,Headphones,UrbanStyle,189.69,64.76,241,0.96,2023-02-22,True,3.9,66
PROD000158,BeautyFirst Comics,Books,Comics,UrbanStyle,303.89,98.36,373,5.44,2024-06-08,True,3.8,0
PROD000159,TechPro Kitchen Tools,Home,Kitchen Tools,ReadMore,294.82,88.77,310,0.96,2023-10-08,True,4.6,82
PROD000160,EcoHome Furniture,Home,Furniture,StyleMax,16.59,8.16,360,3.42,2020-10-21,True,4.0,29
PROD000161,Premium Journals,Books,Journals,ProGear,157.03,64.55,282,0.95,2019-08-06,True,,336
PROD000162,BeautyFirst Tablets,Electronics,Tablets,Essential,322.54,111.25,101,1.52,2023-09-16,True,3.2,0
PROD000163,ActiveWear Educational,Books,Educational,HomeEssentials,197.26,90.93,465,6.05,2024-04-21,True,3.3,398
PROD000164,Deluxe Comics,Books,Comics,Essential,100.83,43.39,5,1.01,2023-09-04,False,4.0,290
PROD000165,Essential Bath,Beauty,Bath,HomeEssentials,32.63,14.76,206,7.12,2022-11-13,True,3.5,36
PROD000166,Elite Outdoor,Sports,Outdoor,Deluxe,355.32,137.68,114,5.32,2022-12-08,True,,407
PROD000167,Essential Shoes,Clothing,Shoes,ReadMore,282.29,89.07,365,11.75,2023-01-22,True,3.4,202
PROD000168,BeautyFirst Cameras,Electronics,Cameras,Classic,34.38,15.34,499,9.04,2021-01-21,True,3.1,494
PROD000169,HomeEssentials Bath,Beauty,Bath,StyleMax,499.99,147.71,123,3.71,2024-04-27,True,,414
PROD000170,ActiveWear Cables,Electronics,Cables,HomeEssentials,313.91,108.76,170,11.01,2019-04-07,True,4.7,333
PROD000171,Modern Skincare,Beauty,Skincare,ReadMore,234.41,71.47,185,3.81,2020-12-05,True,4.0,457
PROD000172,BeautyFirst Journals,Books,Journals,ProGear,363.36,125.27,95,6.84,2019-04-07,True,4.6,147
PROD000173,FitLife Cycling,Sports,Cycling,FitLife,68.48,20.41,494,6.76,2021-09-07,True,3.0,313
PROD000174,BeautyFirst Fitness,Sports,Fitness,SmartTech,46.5,15.89,119,5.11,2024-01-10,True,4.4,123
PROD000175,ReadMore Cameras,Electronics,Cameras,Modern,195.71,116.63,167,10.84,2021-11-18,True,3.2,7
PROD000176,ActiveWear Headphones,Electronics,Headphones,Essential,110.71,54.94,281,0.98,2024-04-12,True,4.1,25
PROD000177,ComfortPlus Cameras,Electronics,Cameras,Essential,62.54,19.35,115,12.86,2022-02-28,True,4.8,177
PROD000178,StyleMax Cameras,Electronics,Cameras,Modern,110.18,36.95,53,9.19,2020-09-07,True,4.5,0
PROD000179,SmartTech Tools,Beauty,Tools,HomeEssentials,279.83,139.82,188,10.46,2021-08-30,True,3.8,280
PROD000180,ComfortPlus Skincare,Beauty,Skincare,ReadMore,23.4,14.81,381,9.86,2023-07-12,True,3.7,342
PROD000181,Classic Cameras,Electronics,Cameras,ProGear,272.94,96.41,39,6.07,2023-09-16,True,4.7,154
PROD000182,Deluxe Smartwatches,Electronics,Smartwatches,Elite,217.18,89.25,199,4.25,2022-01-17,True,4.1,373
PROD000183,ReadMore Cycling,Sports,Cycling,Premium,193.99,119.69,150,10.02,2020-04-04,True,4.0,188
PROD000184,Modern Pants,Clothing,Pants,ComfortPlus,181.8,62.95,139,7.35,2020-08-28,True,4.6,133
PROD000185,UrbanStyle Speakers,Electronics,Speakers,ProGear,144.95,61.86,405,11.4,2020-10-20,True,4.5,84
PROD000186,StyleMax Journals,Books,Journals,BeautyFirst,162.52,88.9,232,2.56,2022-10-31,True,3.0,248
PROD000187,ProGear Headphones,Electronics,Headphones,Classic,271.67,107.06,197,4.7,2023-03-13,True,,447
PROD000188,TechPro Yoga,Sports,Yoga,ReadMore,165.59,73.12,165,3.48,2020-05-03,True,3.6,330
PROD000189,Elite Dresses,Clothing,Dresses,ReadMore,19.29,10.12,387,4.13,2020-02-11,True,3.2,434
PROD000190,Essential Kitchen Tools,Home,Kitchen Tools,BeautyFirst,261.88,78.53,36,12.74,2021-08-17,False,4.2,285
PROD000191,HomeEssentials Lighting,Home,Lighting,EcoHome,254.9,112.32,6,4.61,2021-08-27,True,3.5,483
PROD000192,Modern Smartwatches,Electronics,Smartwatches,ProGear,289.19,129.82,268,3.31,2019-12-09,True,4.1,408
PROD000193,StyleMax Comics,Books,Comics,ComfortPlus,177.0,80.44,292,5.61,2019-07-16,True,3.2,377
PROD000194,ActiveWear Yoga,Sports,Yoga,UrbanStyle,233.52,128.45,23,0.23,2020-11-30,True,3.9,231
PROD000195,ActiveWear Furniture,Home,Furniture,FitLife,238.95,135.93,244,7.61,2023-01-04,True,4.2,382
PROD000196,Modern Tools,Beauty,Tools,ReadMore,198.0,140.01,439,11.0,2023-09-18,True,,59
PROD000197,SmartTech Decor,Home,Decor,Deluxe,238.41,142.37,461,10.96,2023-02-02,True,4.9,246
PROD000198,Essential Lighting,Home,Lighting,ActiveWear,162.42,67.47,196,10.57,2023-01-21,True,3.8,421
PROD000199,UrbanStyle Pants,Clothing,Pants,StyleMax,232.35,128.22,312,1.74,2020-07-11,True,3.3,427
